FileID,OM,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,Mean 09,Mean 10,Mean 11,Mean 12,Mean 13,Mean 14,Mean 15,Mean 16,Mean 17,Mean 18,Mean 19,Mean 20,Mean 21,Mean 22,Mean 23,Mean 24,Mean 25,Mean 26,Mean 27,Mean 28,Mean 29,Mean 30,Mean 31,Mean 32,Mean 33,Mean 34,Mean 35,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18,StdDev 19,StdDev 20,StdDev 21,StdDev 22,StdDev 23,StdDev 24,StdDev 25,StdDev 26,StdDev 27,StdDev 28,StdDev 29,StdDev 30,StdDev 31,StdDev 32,StdDev 33,StdDev 34,StdDev 35,Median 01,Median 02,Median 03,Median 04,Median 05,Median 06,Median 07,Median 08,Median 09,Median 10,Median 11,Median 12,Median 13,Median 14,Median 15,Median 16,Median 17,Median 18,Median 19,Median 20,Median 21,Median 22,Median 23,Median 24,Median 25,Median 26,Median 27,Median 28,Median 29,Median 30,Median 31,Median 32,Median 33,Median 34,Median 35
205251,13.5,3.187766,3.68659,4.047245,4.579875,4.880189,5.187081,5.841168,5.871522,6.892184,7.596567,8.705247,9.111907,9.759576,10.94521,14.62411,18.20054,19.44543,22.3972,23.42569,19.10962,17.08389,16.81683,16.69017,17.39908,22.8953,22.40863,20.92399,25.98196,24.02422,21.84302,28.56229,33.5779,47.36992,24.34277,24.0529,0.9400421,1.269873,1.487288,1.7852,1.9236,2.055531,2.306808,2.257197,2.665271,2.926251,3.349917,3.487557,3.711002,4.112326,5.21868,6.13306,6.376514,6.992836,7.171734,1.328099,0.6800697,0.5642392,0.5360634,0.7269923,1.654831,1.857867,1.607186,2.082853,1.807557,1.471894,3.872373,5.04853,2.008292,1.06159,1.618083,3.104333,3.643098,3.975529,4.481758,4.755553,5.060478,5.729187,5.846671,6.814819,7.550534,8.692752,9.197104,9.92482,11.06555,14.92872,18.84784,20.18408,23.11659,24.2359,18.74767,16.93805,16.70661,16.38057,16.88053,22.73452,21.87302,20.36333,25.3774,23.69034,21.48566,28.59232,33.64448,46.99519,24.33077,23.86674
205252,13.5,3.142342,3.616215,3.961146,4.470128,4.762488,5.061131,5.701381,5.736935,6.739377,7.426721,8.51658,8.922276,9.562512,10.73163,14.37924,17.92212,19.15365,22.07611,23.09297,18.74379,17.04924,16.79255,16.66841,17.35893,22.79522,22.29185,20.82267,25.84158,23.91157,21.74855,28.3037,33.2417,47.24736,24.27906,23.97044,0.8674957,1.12559,1.289363,1.534439,1.655352,1.77889,2.037583,1.985256,2.436238,2.70565,3.142014,3.278145,3.517304,3.957462,5.180933,6.215644,6.50023,7.210232,7.418487,1.005218,0.649811,0.5494242,0.5219203,0.6916268,1.491261,1.533813,1.186939,1.644808,1.506105,1.280231,3.531595,4.629681,2.021759,1.024746,1.59923,3.058302,3.612207,3.942903,4.540193,4.822147,5.084022,5.820653,5.835365,6.861373,7.493921,8.660171,9.162159,9.796584,10.99241,14.85034,18.70354,20.10144,23.09213,24.20629,18.60464,16.75394,16.60277,16.21184,17.29625,22.50441,22.28147,20.58624,25.33097,23.7943,21.23532,28.02816,33.14782,47.21833,23.98878,23.83972
205253,13.5,3.220943,3.71188,4.06966,4.599125,4.900616,5.211713,5.879071,5.912705,6.966988,7.678558,8.819354,9.246371,9.909316,11.13295,14.95353,18.6684,19.95593,23.03146,24.10218,19.12255,17.08588,16.827,16.6992,17.40944,22.89679,22.41374,20.90559,25.96718,24.00747,21.84733,28.63575,33.67207,47.37069,24.35783,24.08575,0.8105356,1.070845,1.23648,1.474425,1.587762,1.703046,1.941864,1.894915,2.307424,2.554482,2.948225,3.074884,3.283658,3.661816,4.711287,5.551001,5.772765,6.349478,6.51538,1.131899,0.5894102,0.5188863,0.4975501,0.6511828,1.30265,1.4032,1.101812,1.549492,1.424009,1.207907,3.309779,4.326267,1.939932,0.9731182,1.542903,3.154011,3.648346,4.02183,4.584486,4.82117,5.159635,5.804699,5.927444,6.934563,7.593088,8.820618,9.242073,9.974617,11.24506,15.28002,19.07281,20.43956,23.75904,24.74952,18.87665,16.56622,16.78363,16.18062,17.32802,22.75817,22.08118,20.28192,25.49631,23.79961,21.22771,28.58788,33.1818,47.02306,23.98453,23.75836
206531,2.4,7.903598,10.25021,11.69269,13.86562,14.89881,15.88192,17.81589,17.79408,20.8035,22.64385,24.83427,25.59718,26.60514,28.1717,32.46212,35.5394,36.37985,38.42025,39.20917,22.23069,18.86714,18.18473,17.89334,19.79985,28.02371,28.2597,25.02046,32.25006,29.62093,26.92352,46.66505,56.92692,52.29431,27.08071,28.8087,2.028931,2.89251,3.379756,4.043281,4.324018,4.584584,5.06507,4.985992,5.75665,6.11902,6.48568,6.699698,6.873839,7.081008,7.818523,8.237215,8.290235,8.496485,8.553452,1.727263,0.9187202,0.7465298,0.6883878,1.134134,2.342554,2.626445,1.903414,2.692905,2.475587,2.222895,7.38791,9.144131,2.494344,1.372664,2.207108,8.053855,10.57802,12.19491,14.57231,15.70947,16.66734,18.74619,18.6697,22.00545,23.97239,26.16243,27.09424,28.03813,29.70345,34.23312,37.51392,38.17216,40.33961,40.95259,21.99652,18.5743,17.81773,17.7081,19.71142,27.82348,28.15154,25.21462,32.19106,29.91846,27.17972,47.98724,58.52629,52.49865,26.79237,28.89512
206532,2.4,8.387898,10.92841,12.50889,14.91365,16.06412,17.16442,19.33366,19.28854,22.74767,24.80254,27.25605,28.17072,29.32038,31.09137,36.08292,39.64455,40.6009,42.97592,43.88512,22.62107,19.1797,18.4393,18.12242,20.18209,28.95615,29.28438,25.75782,33.30768,30.58767,27.79711,49.51719,60.46856,53.30127,27.66946,29.77348,1.294314,1.898036,2.23217,2.666572,2.850405,3.021397,3.334735,3.294549,3.796488,4.032907,4.263773,4.417283,4.53459,4.677885,5.201002,5.510702,5.55947,5.691396,5.72184,1.301588,0.6782663,0.5798649,0.5462578,0.8100824,1.679843,1.880997,1.403002,1.989681,1.845867,1.627067,4.988584,6.115984,2.00017,1.075285,1.837323,8.463415,11.12669,12.70169,15.23372,16.372,17.56303,19.86733,19.73789,23.46015,25.51965,27.94482,28.94698,30.18044,31.9999,37.01915,40.74698,41.71488,44.01689,45.08116,22.52708,19.07925,18.39898,17.98568,20.14393,28.63066,29.17678,25.34175,33.15144,30.47081,27.54182,50.25858,61.13637,53.09432,27.5661,29.67252
206533,2.4,8.177062,10.62461,12.14028,14.43428,15.53033,16.57551,18.63636,18.59946,21.84563,23.82379,26.1662,27.01571,28.10359,29.78681,34.48587,37.85736,38.76487,41.02339,41.88712,22.49161,19.03872,18.32421,18.01709,20.00344,28.54134,28.79661,25.41375,32.77924,30.13909,27.39207,48.18767,58.8229,52.87935,27.41277,29.38906,1.582811,2.301189,2.698201,3.22026,3.438222,3.640769,4.01132,3.958533,4.550277,4.821684,5.090354,5.264864,5.396409,5.552042,6.127743,6.455523,6.49825,6.631546,6.659374,1.499296,0.7857956,0.6589004,0.6139399,0.9520261,1.916349,2.144433,1.57564,2.222003,2.071306,1.843276,5.887898,7.231168,2.179028,1.19172,2.028312,8.138394,10.6901,12.31056,14.70391,15.91842,16.98084,19.12743,19.06647,22.49958,24.56081,26.86206,27.8042,28.91083,30.65229,35.40266,38.82746,39.72628,42.02729,42.85722,22.42169,18.65002,18.33827,17.89504,19.59705,28.23829,28.56272,25.30185,32.64238,30.21726,27.5097,48.94107,59.34309,52.67317,27.47586,29.0999
21514,5.7,6.160091,8.037985,9.404613,11.45413,12.405,13.42088,15.59597,15.5823,18.78739,20.48317,22.6878,23.47846,24.56993,26.40799,31.54937,35.11943,36.12806,38.46107,39.31003,21.59447,18.71486,18.07004,17.80495,19.47283,27.72783,28.048,25.06889,32.08243,29.44149,26.63737,44.56745,54.32316,52.13918,27.13838,28.88678,1.410818,2.096991,2.562615,3.220726,3.490449,3.771174,4.336309,4.269123,5.104515,5.441466,5.808125,6.010577,6.192056,6.437935,7.324137,7.776469,7.849845,8.057508,8.103324,1.666956,0.9452775,0.7799969,0.7459685,1.107679,2.875508,4.036232,3.733747,4.548474,4.04293,3.109324,7.143198,9.001088,2.905997,2.36375,3.832989,6.168796,8.100752,9.461889,11.70687,12.63963,13.72736,16.04567,15.98033,19.25131,21.08402,23.37127,24.19654,25.33331,27.17321,32.72582,36.31385,37.40627,39.92074,40.56449,21.46474,18.72926,17.91192,17.31309,19.12403,27.33025,27.92951,24.8616,31.89302,29.12564,26.55682,44.95992,55.17767,51.86622,26.97972,28.62461
21538,4.8,6.223343,8.115196,9.355501,11.19342,11.97752,12.80927,14.59695,14.55227,17.3245,18.75218,20.53828,21.08204,21.90378,23.21378,26.54693,28.66569,29.22978,30.54715,31.07804,21.36602,18.30483,17.73077,17.48361,19.05249,26.32366,26.44502,23.74906,30.36625,27.90337,25.37057,41.52132,50.52626,50.49069,26.10656,27.21599,1.188862,1.795693,2.161822,2.658464,2.843688,3.031277,3.408393,3.341147,3.936915,4.170406,4.412264,4.548279,4.670713,4.807293,5.3464,5.630288,5.656765,5.797612,5.826712,1.354839,0.695003,0.5900056,0.5544206,0.8198324,1.614553,1.826868,1.378894,1.962317,1.789625,1.570337,4.977787,6.259505,2.036386,1.053802,1.732222,6.238575,8.179533,9.393293,11.30435,12.11085,12.95188,14.81686,14.6676,17.65097,19.09174,21.0194,21.63788,22.41047,23.83951,27.17153,29.26443,29.92595,31.17093,31.6785,21.27456,17.96114,17.47813,17.08484,18.73805,26.12693,26.2578,23.59217,30.37491,27.50699,24.93163,41.90155,50.85096,50.36134,25.81299,27.08947
22291,5.9,7.474792,8.951621,9.818721,11.08189,11.73743,12.34413,13.46065,13.41113,14.81715,15.91916,17.54918,18.12568,18.98589,20.43891,24.28468,27.17492,27.9968,29.80756,30.45442,21.26337,18.13103,17.61223,17.38987,18.87006,25.91117,25.74533,23.28753,29.58495,27.20779,24.68299,38.47871,46.56522,50.44895,25.96612,26.62242,2.458345,3.174977,3.561615,4.093277,4.335433,4.559826,4.959705,4.860693,5.417475,5.763644,6.244852,6.464457,6.727843,7.111204,8.27128,9.027381,9.172494,9.579429,9.686446,1.73938,0.9284632,0.7628921,0.7072098,1.139899,2.348111,2.568465,1.901345,2.674069,2.453091,2.163086,6.952037,8.838564,2.649678,1.446647,2.236384,7.495727,9.183017,9.989446,11.45944,12.15741,12.75391,13.90819,13.81917,15.37497,16.56159,18.23716,18.77945,19.68279,21.31676,25.24859,28.14208,28.90201,30.92445,31.4159,21.17685,17.86141,17.58181,16.94968,18.5751,25.71402,25.88257,23.06874,29.53278,26.97423,24.82808,38.6584,47.17299,50.30114,26.00446,26.43943
22448,14,4.098177,4.569407,4.849298,5.221197,5.4688,5.731478,6.273855,6.284268,7.042126,7.583436,8.735555,9.391229,10.43579,12.29296,17.64651,22.26473,23.76225,27.19916,28.33531,19.56108,17.37363,17.02083,16.87922,17.63225,23.98259,23.28142,21.61351,26.76655,24.63953,22.28614,29.01758,34.14401,48.82662,25.06545,24.74678,0.9212765,1.203349,1.33925,1.514798,1.599542,1.685773,1.852916,1.81479,2.048489,2.200036,2.496177,2.633022,2.858833,3.228081,4.096949,4.592634,4.682673,4.88906,4.927686,1.120796,0.564456,0.4950297,0.4774649,0.6058276,1.293306,1.350619,1.075476,1.492568,1.367878,1.128013,2.859913,3.755884,1.831146,0.9201584,1.460071,3.901782,4.275819,4.57198,4.854742,5.09826,5.390955,5.87519,5.918839,6.577477,7.180697,8.170591,8.858618,9.911026,11.80029,17.11492,21.78553,23.2126,26.63337,27.96548,19.27463,17.23738,16.5435,16.51893,17.43759,23.32555,22.88281,21.49781,26.60605,24.40849,21.8712,28.52444,33.26582,48.394,24.88835,24.71939
22577,4.5,5.026315,6.2113,7.016596,8.253492,8.886828,9.575145,11.0493,11.02576,13.27027,14.5957,16.43296,17.07845,18.06128,19.67925,23.90865,27.01273,27.88886,30.04634,30.86267,20.41476,17.95114,17.51408,17.30756,18.53418,25.50608,25.39131,23.07141,29.17115,26.84604,24.3646,37.17636,44.92287,49.98339,25.79316,26.49023,1.20566,1.669171,1.947343,2.357053,2.537273,2.728184,3.12311,3.051001,3.675732,3.985217,4.360366,4.528319,4.724452,4.986987,5.76717,6.181995,6.235299,6.455299,6.508301,1.354214,0.7209842,0.6190111,0.5830749,0.8339985,1.69613,1.871591,1.426922,2.009412,1.831167,1.592972,4.885863,6.236515,2.187969,1.131229,1.791735,4.886004,6.107907,6.949092,8.158399,8.891636,9.586115,11.01537,11.09496,13.4109,14.76774,16.70239,17.1965,18.36588,20.02102,24.30139,27.62936,28.47507,30.5781,31.57171,20.25034,17.54377,17.18311,17.00078,18.25839,25.03844,25.29021,23.0294,28.97328,26.67705,24.06342,36.88322,45.21718,49.75918,25.41961,26.37713
23304,14.7,4.44183,5.393009,6.042869,6.992232,7.601406,8.237309,9.490283,9.469603,11.32599,12.4634,14.59995,15.61582,17.21483,19.84748,26.49806,31.02739,32.2794,35.07257,36.00813,20.41996,18.1522,17.60173,17.39278,18.46247,26.64793,26.11472,23.69715,29.67301,27.22483,24.50238,35.77691,43.08086,51.35312,26.48882,27.07968,0.6797364,0.9680489,1.13563,1.374864,1.506523,1.643074,1.896434,1.845825,2.23365,2.437661,2.789316,2.97454,3.220291,3.546934,4.423143,4.901294,4.983913,5.180275,5.215217,1.10483,0.5837172,0.5082937,0.4882839,0.6153356,1.474515,1.541254,1.207907,1.647511,1.506123,1.255772,3.247218,4.175344,1.946548,1.009893,1.608202,4.39729,5.286391,5.959272,6.917439,7.453966,8.097051,9.422041,9.424546,11.16398,12.38409,14.63189,15.61982,17.21472,19.87702,26.77454,31.24944,32.58338,35.25382,36.19442,20.29331,17.99131,17.13298,16.98293,18.44273,26.17334,25.93928,23.24018,29.29524,27.18371,24.33346,35.75025,42.86981,51.18622,26.43372,27.12374
